album_name,ep,album_release,track_number,track_name,artist,featuring,bonus_track,promotional_release,,
Taylor Swift,FALSE,24/10/2006,1,Tim McGraw,Taylor Swift,NA,FALSE,NA,,
Taylor Swift,FALSE,24/10/2006,2,Picture To Burn,Taylor Swift,NA,FALSE,NA,,
Taylor Swift,FALSE,24/10/2006,3,Teardrops On My Guitar,Taylor Swift,NA,FALSE,NA,,
Taylor Swift,FALSE,24/10/2006,4,A Place In This World,Taylor Swift,NA,FALSE,NA,,
Taylor Swift,FALSE,24/10/2006,5,Cold As You,Taylor Swift,NA,FALSE,NA,,
Taylor Swift,FALSE,24/10/2006,6,The Outside,Taylor Swift,NA,FALSE,NA,,
Taylor Swift,FALSE,24/10/2006,7,Tied Together With A Smile,Taylor Swift,NA,FALSE,NA,,
Taylor Swift,FALSE,24/10/2006,8,Stay Beautiful,Taylor Swift,NA,FALSE,NA,,
Taylor Swift,FALSE,24/10/2006,9,Should've Said No,Taylor Swift,NA,FALSE,NA,,
Taylor Swift,FALSE,24/10/2006,10,Mary's Song (Oh My My My),Taylor Swift,NA,FALSE,NA,,
Taylor Swift,FALSE,24/10/2006,11,Our Song,Taylor Swift,NA,FALSE,NA,,
Taylor Swift,FALSE,24/10/2006,12,I'm Only Me When I'm With You,Taylor Swift,NA,TRUE,NA,,
Taylor Swift,FALSE,24/10/2006,13,Invisible,Taylor Swift,NA,TRUE,NA,,
Taylor Swift,FALSE,24/10/2006,14,A Perfectly Good Heart,Taylor Swift,NA,TRUE,NA,,
Taylor Swift,FALSE,24/10/2006,15,Teardrops On My Guitar (Pop Version),Taylor Swift,NA,TRUE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,1,Fearless (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,2,Fifteen (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,3,Love Story (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,4,Hey Stephen (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,5,White Horse (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,6,You Belong With Me (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,7,Breathe (Taylor's Version),Taylor Swift,Colbie Caillat,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,8,Tell Me Why (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,9,You're Not Sorry (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,10,The Way I Loved You (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,11,Forever & Always (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,12,The Best Day (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
Fearless (Taylor's Version),FALSE,9/4/2021,13,Change (Taylor's Version),Taylor Swift,NA,FALSE,NA,,
