album_name,ep,featuring,danceability,energy,speechiness,
Taylor Swift,false,NA,0.658,0.877,0.0323,
Taylor Swift,false,NA,0.479,0.578,0.0294,
Taylor Swift,false,NA,0.668,0.672,0.0303,
Fearless (Taylor's Version),false,NA,0.559,0.646,0.0272,
Fearless (Taylor's Version),false,NA,0.627,0.792,0.031,
Fearless (Taylor's Version),false,NA,0.788,0.571,0.0296,
Fearless (Taylor's Version),false,NA,0.423,0.517,0.0486,
Fearless (Taylor's Version),false,NA,0.632,0.773,0.0346,
Fearless (Taylor's Version),false,NA,0.402,0.732,0.0484,
Fearless (Taylor's Version),false,NA,0.598,0.821,0.0447,
Fearless (Taylor's Version),false,NA,0.642,0.576,0.0282,
Fearless (Taylor's Version),false,NA,0.476,0.564,0.0269,
Fearless (Taylor's Version),false,NA,0.432,0.873,0.0577,
Fearless (Taylor's Version),false,NA,0.66,0.817,0.0521,
Fearless (Taylor's Version),false,NA,0.563,0.473,0.0503,
Speak Now,false,NA,0.455,0.623,0.0288,
Speak Now,false,NA,0.608,0.569,0.0284,
Red (Taylor's Version),false,NA,0.594,0.713,0.0503,
Red (Taylor's Version),false,NA,0.642,0.695,0.0281,
Red (Taylor's Version),false,NA,0.511,0.559,0.0264,
Red (Taylor's Version),false,Gary Lightbody,0.502,0.534,0.0278,
Red (Taylor's Version),false,NA,0.46,0.632,0.0302,
Red (Taylor's Version),false,NA,0.473,0.579,0.0384,
Red (Taylor's Version),false,Chris Stapleton,0.391,0.715,0.0495,
Red (Taylor's Version),false,NA,0.611,0.552,0.031,
Red (Taylor's Version),false,Ed Sheeran,0.61,0.488,0.0293,
Red (Taylor's Version),false,NA,0.678,0.733,0.0281,
1989,false,NA,0.789,0.634,0.0323,
1989,false,NA,0.653,0.893,0.0538,
1989,false,NA,0.646,0.794,0.19,
1989,false,NA,0.55,0.688,0.0897,
1989,false,NA,0.602,0.755,0.071,
1989,false,NA,0.422,0.692,0.0549,
1989,false,NA,0.474,0.48,0.0622,
1989,false,NA,0.633,0.889,0.0715,
reputation,false,Ed Sheeran Future,0.649,0.589,0.0558,
reputation,false,NA,0.574,0.61,0.0732,
reputation,false,NA,0.562,0.689,0.127,
reputation,false,NA,0.675,0.703,0.0382,
reputation,false,NA,0.661,0.151,0.0354,
Lover,false,NA,0.664,0.316,0.519,
Lover,false,NA,0.662,0.747,0.0736,
Lover,false,NA,0.695,0.71,0.05,
Lover,false,NA,0.739,0.32,0.239,
Lover,false,NA,0.771,0.671,0.0553,
Lover,false,NA,0.756,0.449,0.0344,
Lover,false,NA,0.557,0.496,0.0563,
folklore,false,Bon Iver,0.31,0.374,0.0275,
folklore,false,NA,0.456,0.265,0.0328,
folklore,false,NA,0.651,0.459,0.0507,
folklore,false,NA,0.593,0.7,0.0492,
folklore,false,NA,0.317,0.254,0.0286,
folklore,false,NA,0.595,0.376,0.0256,
folklore,false,NA,0.644,0.284,0.0821,
evermore,false,NA,0.462,0.24,0.0377,
evermore,false,NA,0.512,0.462,0.0408,
evermore,false,NA,0.559,0.334,0.0376,
evermore,false,NA,0.604,0.517,0.0347,
evermore,false,NA,0.689,0.704,0.245,
evermore,false,Bon Iver,0.39,0.27,0.0308,
evermore,false,NA,0.581,0.619,0.0282,
Midnights,false,NA,0.735,0.444,0.0684,
Midnights,false,NA,0.638,0.634,0.0457,
Midnights,false,NA,0.694,0.38,0.0614,
Midnights,false,NA,0.636,0.377,0.0708,
Midnights,false,NA,0.422,0.235,0.0568,
Midnights,false,NA,0.7,0.509,0.0789,
Midnights,false,NA,0.675,0.466,0.201,
Midnights,false,NA,,,,
Midnights,false,NA,,,,
